time,open,high,low,close,Volume,Volume MA
2017-10-23T00:00:00+02:00,18.09,18.09,18.09,18.09,0,NaN
2017-10-24T00:00:00+02:00,17.96,17.96,17.96,17.96,0,NaN
2017-10-25T00:00:00+02:00,18.11,18.11,18.11,18.11,0,NaN
2017-10-26T00:00:00+02:00,18.07,18.07,18.07,18.07,0,NaN
2017-10-27T00:00:00+02:00,18.15,18.15,18.15,18.15,0,NaN
2017-10-29T23:00:00+01:00,18.11,18.11,18.11,18.11,0,NaN
2017-10-30T23:00:00+01:00,18.285,18.285,18.285,18.285,0,NaN
2017-10-31T23:00:00+01:00,18.55,18.55,18.55,18.55,0,NaN
2017-11-01T23:00:00+01:00,18.58,18.58,18.58,18.58,0,NaN
2017-11-02T23:00:00+01:00,18.31,18.31,18.31,18.31,0,NaN
2017-11-06T00:00:00+01:00,19.01,19.01,19.01,19.01,0,NaN
2017-11-07T00:00:00+01:00,19.325,19.325,19.325,19.325,0,NaN
2017-11-08T00:00:00+01:00,19.38,19.38,19.38,19.38,0,NaN
2017-11-09T00:00:00+01:00,19.515,19.515,19.515,19.515,0,NaN
2017-11-10T00:00:00+01:00,19.82,19.82,19.82,19.82,0,NaN
2017-11-13T00:00:00+01:00,19.905,19.905,19.905,19.905,0,NaN
2017-11-14T00:00:00+01:00,19.335,19.335,19.335,19.335,0,NaN
2017-11-15T00:00:00+01:00,19.015,19.015,19.015,19.015,0,NaN
2017-11-16T00:00:00+01:00,19.2,19.2,19.2,19.2,0,NaN
2017-11-17T00:00:00+01:00,18.95,18.95,18.95,18.95,0,0
2017-11-20T00:00:00+01:00,19.5,19.5,19.5,19.5,0,0
2017-11-21T00:00:00+01:00,19.84,19.84,19.84,19.84,0,0
2017-11-22T00:00:00+01:00,19.7,19.7,19.7,19.7,0,0
2017-11-23T00:00:00+01:00,20.455,20.455,20.455,20.455,0,0
2017-11-27T00:00:00+01:00,20.68,20.68,20.68,20.68,0,0
2017-11-28T00:00:00+01:00,20.28,20.28,20.28,20.28,0,0
2017-11-29T00:00:00+01:00,20.35,20.35,20.35,20.35,0,0
2017-11-30T00:00:00+01:00,20.305,20.305,20.305,20.305,0,0
2017-12-01T00:00:00+01:00,20.79,20.79,20.79,20.79,0,0
2017-12-04T00:00:00+01:00,21.375,21.375,21.375,21.375,0,0
2017-12-05T00:00:00+01:00,21.405,21.405,21.405,21.405,0,0
2017-12-06T00:00:00+01:00,21.165,21.165,21.165,21.165,0,0
2017-12-07T00:00:00+01:00,21.265,21.265,21.265,21.265,0,0
2017-12-08T00:00:00+01:00,20.89,20.89,20.89,20.89,0,0
2017-12-11T00:00:00+01:00,21.135,21.135,21.135,21.135,0,0
2017-12-12T00:00:00+01:00,21.73,21.73,21.73,21.73,0,0
2017-12-13T00:00:00+01:00,20.675,20.675,20.675,20.675,0,0
2017-12-14T00:00:00+01:00,21.025,21.025,21.025,21.025,0,0
2017-12-15T00:00:00+01:00,21.01,21.01,21.01,21.01,0,0
2017-12-18T00:00:00+01:00,20.46,20.46,20.46,20.46,0,0
2017-12-19T00:00:00+01:00,19.95,19.95,19.95,19.95,0,0
2017-12-20T00:00:00+01:00,20.295,20.295,20.295,20.295,0,0
2017-12-21T00:00:00+01:00,20,20,20,20,0,0
2017-12-22T00:00:00+01:00,19.665,19.665,19.665,19.665,0,0
2017-12-26T00:00:00+01:00,19.64,19.64,19.64,19.64,0,0
2017-12-27T00:00:00+01:00,19.17,19.17,19.17,19.17,0,0
2017-12-28T00:00:00+01:00,19.62,19.62,19.62,19.62,0,0
2017-12-29T00:00:00+01:00,19.62,19.62,19.62,19.62,0,0
2018-01-02T00:00:00+01:00,19.32,19.32,19.32,19.32,0,0
2018-01-03T00:00:00+01:00,19.325,19.325,19.325,19.325,0,0
2018-01-04T00:00:00+01:00,19.2,19.2,19.2,19.2,0,0
2018-01-05T00:00:00+01:00,18.915,18.915,18.915,18.915,0,0
2018-01-08T00:00:00+01:00,19.05,19.05,19.05,19.05,0,0
2018-01-09T00:00:00+01:00,19.435,19.435,19.435,19.435,0,0
2018-01-10T00:00:00+01:00,19.325,19.325,19.325,19.325,0,0
2018-01-11T00:00:00+01:00,19.32,19.32,19.32,19.32,0,0
2018-01-12T00:00:00+01:00,19.805,19.805,19.805,19.805,0,0
2018-01-15T00:00:00+01:00,18.9,18.9,18.9,18.9,0,0
2018-01-17T00:00:00+01:00,18.44,18.44,18.44,18.44,0,0
2018-01-18T00:00:00+01:00,18.35,18.35,18.35,18.35,0,0
2018-01-19T00:00:00+01:00,18.19,18.19,18.19,18.19,0,0
2018-01-22T00:00:00+01:00,18.545,18.545,18.545,18.545,0,0
2018-01-23T00:00:00+01:00,18.2,18.2,18.2,18.2,0,0
2018-01-24T00:00:00+01:00,17.79,17.79,17.79,17.79,0,0
2018-01-25T00:00:00+01:00,17.78,17.78,17.78,17.78,0,0
2018-01-26T00:00:00+01:00,17.71,17.71,17.71,17.71,0,0
2018-01-29T00:00:00+01:00,17.42,17.42,17.42,17.42,0,0
2018-01-30T00:00:00+01:00,17.295,17.295,17.295,17.295,0,0
2018-01-31T00:00:00+01:00,17.88,17.88,17.88,17.88,0,0
2018-02-01T00:00:00+01:00,18.15,18.15,18.15,18.15,0,0
2018-02-02T00:00:00+01:00,18.16,18.16,18.16,18.16,0,0
2018-02-05T00:00:00+01:00,17.59,17.59,17.59,17.59,0,0
2018-02-06T00:00:00+01:00,17.88,17.88,17.88,17.88,0,0
2018-02-07T00:00:00+01:00,18.155,18.155,18.155,18.155,0,0
2018-02-08T00:00:00+01:00,17.74,17.74,17.74,17.74,0,0
